Index,Cortical Region
0,rh_lateralorbitofrontal
1,rh_parsorbitalis
2,rh_frontalpole
3,rh_medialorbitofrontal
4,rh_parstriangularis
5,rh_parsopercularis
6,rh_rostralmiddlefrontal
7,rh_superiorfrontal
8,rh_caudalmiddlefrontal
9,rh_precentral
10,rh_paracentral
11,rh_rostralanteriorcingulate
12,rh_caudalanteriorcingulate
13,rh_posteriorcingulate
14,rh_isthmuscingulate
15,rh_postcentral
16,rh_supramarginal
17,rh_superiorparietal
18,rh_inferiorparietal
19,rh_precuneus
20,rh_cuneus
21,rh_pericalcarine
22,rh_lateraloccipital
23,rh_lingual
24,rh_fusiform
25,rh_parahippocampal
26,rh_entorhinal
27,rh_temporalpole
28,rh_inferiortemporal
29,rh_middletemporal
30,rh_bankssts
31,rh_superiortemporal
32,rh_transversetemporal
33,rh_insula
34,lh_lateralorbitofrontal
35,lh_parsorbitalis
36,lh_frontalpole
37,lh_medialorbitofrontal
38,lh_parstriangularis
39,lh_parsopercularis
40,lh_rostralmiddlefrontal
41,lh_superiorfrontal
42,lh_caudalmiddlefrontal
43,lh_precentral
44,lh_paracentral
45,lh_rostralanteriorcingulate
46,lh_caudalanteriorcingulate
47,lh_posteriorcingulate
48,lh_isthmuscingulate
49,lh_postcentral
50,lh_supramarginal
51,lh_superiorparietal
52,lh_inferiorparietal
53,lh_precuneus
54,lh_cuneus
55,lh_pericalcarine
56,lh_lateraloccipital
57,lh_lingual
58,lh_fusiform
59,lh_parahippocampal
60,lh_entorhinal
61,lh_temporalpole
62,lh_inferiortemporal
63,lh_middletemporal
64,lh_bankssts
65,lh_superiortemporal
66,lh_transversetemporal
67,lh_insula
